"id","colonyLength","rootLength","group"
1,16.5,15.0,"CONTROLE"
2,0.0,0.0,"CONTROLE"
3,0.0,0.0,"CONTROLE"
4,7.0,11.0,"CONTROLE"
5,5.5,6.5,"CONTROLE"
6,11.0,14.5,"CONTROLE"
7,16.5,14.0,"CONTROLE"
8,0.0,0.0,"CONTROLE"
9,14.0,13.0,"CR53"
10,12.5,10.0,"CR53"
11,1.5,6.0,"CR53"
12,15.5,7.5,"CR53"
13,0.0,0.0,"CR53"
14,0.0,0.0,"CR53"
15,16.0,18.0,"CR53"
16,13.5,15.0,"CR53"
17,9.0,11.5,"CR53"
18,0.0,0.0,"F31"
19,3.5,3.5,"F31"
20,17.0,10.0,"F31"
21,15.0,13.5,"F31"
22,15.5,12.0,"F31"
23,5.5,3.0,"F31"
24,18.5,16.0,"F31"
25,0.0,0.0,"F31"
26,0.0,0.0,"F31"
27,0.0,0.0,"CA319"
28,10.0,12.5,"CA319"
29,14.0,6.5,"CA319"
30,18.5,16.5,"CA319"
31,12.5,17.0,"CA319"
32,14.5,11.5,"CA319"
33,12.5,13.0,"CA319"
34,9.5,7.5,"CA319"
35,16.0,13.0,"CA319"
36,13.5,1.5,"CA322"
37,11.0,7.5,"CA322"
38,13.5,7.5,"CA322"
39,14.5,17.0,"CA322"
40,0.0,0.0,"CA322"
41,14.5,15.5,"CA322"
42,13.0,11.5,"CA322"
43,17.5,11.0,"CA322"
44,13.0,14.0,"CA322"
45,7.0,5.0,"CA910"
46,14.0,7.5,"CA910"
47,12.0,10.0,"CA910"
48,9.0,7.5,"CA910"
49,0.0,0.0,"CA910"
50,9.0,6.0,"CA910"
51,11.5,8.5,"CA910"
52,12.0,17.0,"CA910"
53,13.5,8.5,"CA910"
54,13.5,14.0,"CR75"
55,17.0,12.5,"CR75"
56,14.0,9.0,"CR75"
57,15.0,14.0,"CR75"
58,7.5,10.0,"CR75"
59,17.0,11.5,"CR75"
60,14.0,13.0,"CR75"
61,9.0,12.0,"CR75"
62,8.5,11.0,"CR75"
63,0.0,0.0,"CR96"
64,0.0,0.0,"CR96"
65,12.5,6.0,"CR96"
66,0.0,0.0,"CR96"
67,0.0,0.0,"CR96"
68,16.5,7.0,"CR96"
69,0.0,0.0,"CR96"
70,16.0,10.0,"CR96"
71,9.5,11.0,"CR96"
72,11.0,18.0,"CONTROLE"
73,0.0,0.0,"CONTROLE"
74,20.5,15.0,"CONTROLE"
75,0.0,0.0,"CONTROLE"
76,15.5,16.0,"CONTROLE"
77,16.0,11.5,"CONTROLE"
78,0.0,0.0,"CONTROLE"
79,16.0,16.0,"CONTROLE"
80,13.5,12.0,"CONTROLE"
81,15.5,5.0,"CA323"
82,9.0,7.0,"CA323"
83,7.0,2.0,"CA323"
84,16.0,7.0,"CA323"
85,0.0,0.0,"CA323"
86,15.0,16.0,"CA323"
87,13.5,18.5,"CR72"
88,15.0,14.0,"CR72"
89,13.0,10.0,"CR72"
90,10.0,13.0,"CR72"
91,12.5,13.0,"CR72"
92,18.5,22.5,"CR72"
93,17.5,12.0,"CR72"
94,12.0,8.0,"CR72"
95,11.0,12.0,"CR72"
96,0.0,0.0,"CR819"
97,14.0,13.5,"CR819"
98,12.5,12.0,"CR819"
99,14.0,15.0,"CR819"
100,17.0,12.0,"CR819"
101,13.5,11.0,"CR819"
102,0.0,0.0,"CR819"
103,8.0,10.0,"CR819"
104,14.0,10.0,"CR819"
105,0.0,0.0,"CA46"
106,9.5,9.0,"CA46"
107,13.0,12.5,"CA46"
108,13.5,7.5,"CA46"
109,7.0,10.0,"CA46"
110,12.5,6.5,"CA46"
111,0.0,0.0,"CA46"
112,18.0,8.0,"CA46"
113,0.0,0.0,"CA46"
114,14.0,7.5,"CR64"
115,12.0,5.0,"CR64"
116,10.0,8.5,"CR64"
117,8.5,7.0,"CR64"
118,10.0,9.0,"CR64"
119,15.5,8.0,"CR64"
120,6.0,8.0,"CR64"
121,8.5,12.0,"CR64"
122,16.0,12.5,"CR64"
123,14.5,10.0,"CA64"
124,17.0,12.0,"CA64"
125,5.5,4.5,"CA64"
126,14.0,15.5,"CA64"
127,16.0,16.5,"CA64"
128,6.0,14.0,"CA64"
129,16.0,17.5,"CA64"
130,13.5,8.0,"CA64"
131,0.0,0.0,"CA64"
132,14.0,15.0,"CA414"
133,15.0,9.5,"CA414"
134,8.0,9.5,"CA414"
135,6.5,2.0,"CA414"
136,4.0,2.0,"CA414"
137,3.0,2.0,"CA414"
138,6.5,2.0,"CA414"
139,7.5,5.0,"CA414"
140,16.0,6.0,"CA414"
141,12.0,16.0,"F117"
142,14.5,10.5,"F117"
143,11.5,19.5,"F117"
144,16.0,14.0,"F117"
145,13.0,7.0,"F117"
146,15.0,10.0,"F117"
147,17.0,7.0,"F117"
148,5.5,11.5,"F117"
149,17.0,11.0,"F117"
150,11.0,5.0,"CE83"
151,12.5,6.0,"CE83"
152,7.0,7.0,"CE83"
153,14.0,12.0,"CE83"
154,11.0,12.5,"CE83"
155,10.0,12.0,"CE83"
156,14.5,5.5,"CE83"
157,12.0,7.0,"CE83"
158,15.0,7.5,"CE83"
159,0.0,0.0,"CR13"
160,14.5,4.0,"CR13"
161,5.0,4.0,"CR13"
162,8.0,12.5,"CR13"
163,15.5,4.0,"CR13"
164,13.0,11.0,"CR13"
165,0.0,0.0,"CR13"
166,0.0,0.0,"CR13"
167,14.5,5.5,"CR13"
168,11.0,13.5,"CR312"
169,16.5,8.0,"CR312"
170,11.0,7.5,"CR312"
171,12.5,8.5,"CR312"
172,14.5,11.0,"CR312"
173,10.5,9.0,"CR312"
174,0.0,0.0,"CR312"
175,16.0,13.5,"CR312"
176,13.5,10.0,"CR312"
177,0.0,0.0,"CA216"
178,0.0,0.0,"CA216"
179,16.0,10.0,"CA216"
180,15.0,8.0,"CA216"
181,11.0,9.5,"CA216"
182,9.5,15.5,"CA216"
183,13.0,12.5,"CA216"
184,15.0,11.0,"CA216"
185,18.0,16.0,"CA216"
186,15.0,15.0,"CA319"
187,12.0,8.0,"CA319"
188,14.0,19.0,"CA319"
189,17.0,13.0,"CA319"
190,19.5,9.0,"CA319"
191,9.0,13.5,"CA319"
192,15.0,11.0,"CA319"
193,9.5,7.0,"CA319"
194,18.5,11.5,"CA319"
195,15.5,8.5,"CR74"
196,14.0,13.0,"CR74"
197,15.5,12.0,"CR74"
198,0.0,7.0,"CR74"
199,0.0,0.0,"CR74"
200,17.5,7.5,"CR74"
201,0.0,0.0,"CR74"
202,19.0,9.0,"CR74"
203,13.5,6.5,"CR74"
204,9.5,9.0,"CR72"
205,15.0,11.0,"CR72"
206,13.0,7.0,"CR72"
207,14.5,10.0,"CR72"
208,15.0,11.5,"CR72"
209,15.0,8.0,"CR72"
210,13.0,15.0,"CR72"
211,17.5,13.0,"CR72"
212,16.5,15.5,"CR72"
213,15.0,13.0,"CA52"
214,14.5,9.0,"CA52"
215,13.0,10.0,"CA52"
216,0.0,13.0,"CA52"
217,15.0,10.0,"CA52"
218,12.5,10.0,"CA52"
219,9.0,9.5,"CA52"
220,16.0,7.5,"CA52"
221,12.0,12.0,"CA52"
222,0.0,0.0,"CONTROLE"
223,15.5,18.5,"CONTROLE"
224,9.5,18.5,"CONTROLE"
225,15.0,19.0,"CONTROLE"
226,12.5,11.0,"CONTROLE"
227,13.0,15.5,"CONTROLE"
228,10.0,10.0,"CONTROLE"
229,13.0,13.0,"CONTROLE"
230,15.0,13.5,"CONTROLE"
231,13.0,8.5,"CA387"
232,15.0,10.5,"CA387"
233,12.5,10.5,"CA387"
234,8.0,12.0,"CA387"
235,14.5,11.0,"CA387"
236,18.0,13.0,"CA387"
237,14.0,8.0,"CA387"
238,14.5,12.0,"CA387"
239,17.5,13.0,"CA387"
240,13.5,13.0,"CA99"
241,19.0,17.5,"CA99"
242,10.5,17.5,"CA99"
243,0.0,19.5,"CA99"
244,17.0,17.5,"CA99"
245,11.5,18.0,"CA99"
246,15.0,13.0,"CA99"
247,15.5,15.5,"CA99"
248,11.0,9.5,"CA99"
249,16.5,21.0,"CR33"
250,15.5,9.0,"CR33"
251,11.0,14.5,"CR33"
252,15.0,9.0,"CR33"
253,17.0,17.0,"CR33"
254,12.0,12.0,"CR33"
255,4.0,14.5,"CR33"
256,0.0,8.5,"CR33"
257,16.5,13.0,"CR33"
258,17.5,4.5,"CA317"
259,0.0,0.0,"CA317"
260,11.5,4.5,"CA317"
261,0.0,0.0,"CA317"
262,15.5,12.0,"CA317"
263,9.0,7.0,"CA317"
264,0.0,0.0,"CA317"
265,15.5,12.0,"CA317"
266,17.0,5.0,"CA317"
267,14.0,9.0,"CE83"
268,16.0,11.0,"CE83"
269,8.5,13.5,"CE83"
270,10.0,14.0,"CE83"
271,19.0,12.5,"CE83"
272,16.0,19.0,"CE83"
273,4.5,14.0,"CE83"
274,15.0,9.5,"CE83"
275,19.5,12.0,"CE83"
276,0.0,0.0,"CA117"
277,0.0,11.0,"CA117"
278,19.5,12.0,"CA117"
279,0.0,0.0,"CA117"
280,0.0,0.0,"CA117"
281,14.0,6.5,"CA117"
282,0.0,13.0,"CA117"
283,12.5,12.0,"CA117"
284,18.0,13.5,"CA117"
285,11.0,9.5,"CA1010"
286,14.0,5.0,"CA1010"
287,16.0,8.0,"CA1010"
288,9.5,8.0,"CA1010"
289,13.0,6.0,"CA1010"
290,15.0,9.0,"CA1010"
291,11.5,11.5,"CA1010"
292,14.0,6.5,"CA1010"
293,14.0,11.0,"CA1010"
294,0.0,0.0,"CA313"
295,18.0,7.0,"CA313"
296,15.5,5.5,"CA313"
297,14.5,18.0,"CA313"
298,15.0,13.0,"CA313"
299,14.5,13.5,"CA313"
300,12.5,10.0,"CA313"
301,15.5,9.0,"CA313"
302,15.5,9.5,"CA313"
303,14.0,11.0,"A122"
304,10.5,7.0,"A122"
305,19.0,14.0,"A122"
306,13.0,11.0,"A122"
307,14.0,8.0,"A122"
308,14.5,8.5,"A122"
309,4.0,8.0,"A122"
310,14.5,9.5,"A122"
311,17.5,7.5,"A122"
312,15.5,9.5,"CA215"
313,10.5,11.0,"CA215"
314,14.5,12.0,"CA215"
315,14.5,8.0,"CA215"
316,13.0,10.0,"CA215"
317,12.5,7.5,"CA215"
318,11.0,11.5,"CA215"
319,11.5,11.5,"CA215"
320,16.0,11.5,"CA215"
321,12.5,6.5,"CA610"
322,14.0,4.0,"CA610"
323,11.0,6.5,"CA610"
324,14.5,9.0,"CA610"
325,14.0,11.0,"CA610"
326,13.5,8.0,"CA610"
327,13.5,8.0,"CA610"
328,18.0,6.0,"CA610"
329,16.5,7.5,"CA610"
330,18.5,11.0,"CA116"
331,9.5,7.0,"CA116"
332,12.0,13.0,"CA116"
333,0.0,0.0,"CA116"
334,18.0,14.0,"CA116"
335,4.0,3.0,"CA116"
336,17.0,8.0,"CA116"
337,9.5,14.0,"CA116"
338,15.5,18.0,"CA116"
339,8.5,4.5,"F27"
340,15.5,10.0,"F27"
341,13.5,5.0,"F27"
342,6.0,0.0,"F27"
343,15.0,13.0,"F27"
344,15.5,6.0,"F27"
345,10.0,4.0,"F27"
346,13.0,7.0,"F27"
347,10.0,3.0,"F27"
348,16.5,9.5,"CA824"
349,7.5,14.5,"CA824"
350,12.5,9.0,"CA824"
351,13.5,7.0,"CA824"
352,18.0,7.0,"CA824"
353,11.5,12.0,"CA824"
354,18.0,13.5,"CA824"
355,17.0,6.0,"CA824"
356,12.5,13.0,"CA824"
357,12.5,9.5,"CA87"
358,15.5,12.0,"CA87"
359,15.0,13.5,"CA87"
360,15.5,5.0,"CA87"
361,15.5,7.0,"CA87"
362,13.5,7.5,"CA87"
363,16.0,9.0,"CA87"
364,12.0,7.5,"CA87"
365,13.5,8.5,"CA87"
366,0.0,0.0,"F46"
367,12.0,10.0,"F46"
368,13.0,4.0,"F46"
369,15.0,10.0,"F46"
370,0.0,0.0,"F46"
371,17.0,13.0,"F46"
372,14.0,9.0,"F46"
373,15.0,8.5,"F46"
374,13.0,4.0,"F46"
375,0.0,4.0,"CONTROLE"
376,13.0,13.0,"CONTROLE"
377,14.5,10.0,"CONTROLE"
378,4.0,12.5,"CONTROLE"
379,5.0,11.0,"CONTROLE"
380,16.5,14.5,"CONTROLE"
381,11.5,8.0,"CONTROLE"
382,0.0,0.0,"CONTROLE"
383,17.5,10.0,"CONTROLE"
384,0.0,0.0,"F29"
385,14.0,10.5,"F29"
386,11.0,14.0,"F29"
387,9.5,11.5,"F29"
388,12.5,13.0,"F29"
389,15.5,12.5,"F29"
390,18.5,11.5,"F29"
391,14.5,8.5,"F29"
392,11.5,12.0,"F29"
393,15.5,13.0,"CONTROLE"
394,17.0,8.0,"CONTROLE"
395,12.0,9.5,"CONTROLE"
396,15.5,11.0,"CONTROLE"
397,12.5,11.0,"CONTROLE"
398,16.5,13.5,"CONTROLE"
399,13.0,13.5,"CONTROLE"
400,13.5,19.0,"CONTROLE"
401,12.0,11.0,"CONTROLE"
402,15.0,11.0,"CA712"
403,15.5,12.0,"CA712"
404,12.0,9.5,"CA712"
405,12.0,12.5,"CA712"
406,16.5,15.0,"CA712"
407,13.0,13.0,"CA712"
408,13.5,17.0,"CA712"
409,12.5,9.0,"CA712"
410,17.5,13.5,"CA712"
411,17.5,10.0,"CA18"
412,8.5,5.0,"CA18"
413,13.0,7.5,"CA18"
414,0.0,0.0,"CA18"
415,12.0,11.5,"CA18"
416,14.0,9.5,"CA18"
417,15.0,12.0,"CA18"
418,17.5,12.5,"CA18"
419,5.5,3.0,"CA18"
420,11.0,4.5,"CA522"
421,11.5,5.5,"CA522"
422,13.5,5.0,"CA522"
423,15.0,11.0,"CA522"
424,14.0,11.0,"CA522"
425,11.5,14.0,"CA522"
426,0.0,0.0,"CA522"
427,17.0,7.5,"CA522"
428,11.0,9.0,"CA522"
429,16.0,9.5,"CR818"
430,16.0,12.5,"CR818"
431,17.0,11.5,"CR818"
432,17.0,14.5,"CR818"
433,19.0,10.0,"CR818"
434,14.5,20.0,"CR818"
435,16.5,13.0,"CR818"
436,12.5,12.5,"CR818"
437,8.5,11.0,"CR818"
438,0.0,0.0,"F811"
439,10.0,3.0,"F811"
440,12.0,6.5,"F811"
441,0.0,0.0,"F818"
442,10.0,5.5,"F818"
443,12.5,5.0,"F818"
444,8.0,4.0,"F818"
445,6.0,3.0,"F818"
446,10.5,4.0,"F818"
447,15.5,10.5,"F76"
448,13.0,13.5,"F76"
449,2.0,8.5,"F76"
450,11.0,5.5,"F76"
451,8.0,3.5,"F76"
452,11.5,4.0,"F76"
453,16.0,8.5,"F76"
454,17.0,10.0,"F76"
455,7.0,8.0,"F76"
456,0.0,0.0,"F112"
457,11.5,7.0,"F112"
458,13.0,3.5,"F112"
459,11.0,7.0,"F112"
460,4.5,4.0,"F112"
461,14.5,8.0,"F112"
462,0.0,0.0,"F112"
463,15.0,5.5,"F112"
464,8.0,8.5,"F112"
